ACTIVIDAD 11 - LOG DE TIEMPOS DE PROCESAMIENTO
================================================================================
Matricula: A00000000
Fecha: 2025-11-13 11:53:21
Total de archivos procesados: 506
Tiempo total: 6.578454 segundos
Tiempo promedio por archivo: 0.013001 segundos
================================================================================

TIEMPOS POR ARCHIVO:
--------------------------------------------------------------------------------
Archivo                             Tiempo (s)
--------------------------------------------------------------------------------
002.html                              0.003264
003.html                              0.000482
004.html                              0.000376
005.html                              0.002650
006.html                              0.000464
007.html                              0.003306
008.html                              0.000669
009.html                              0.012986
010.html                              0.000677
011.html                              0.001209
012.html                              0.000337
013.html                              0.000785
014.html                              0.000208
015.html                              0.000293
016.html                              0.000432
017.html                              0.000258
018.html                              0.001289
019.html                              0.015418
020.html                              0.009154
021.html                              0.010046
022.html                              0.012756
023.html                              0.033214
024.html                              0.027251
025.html                              0.010835
026.html                              0.011472
027.html                              0.015617
028.html                              0.011760
029.html                              0.013134
030.html                              0.010935
031.html                              0.016310
032.html                              0.007163
033.html                              0.010005
034.html                              0.010489
035.html                              0.012717
036.html                              0.009670
037.html                              0.012003
038.html                              0.011512
039.html                              0.009749
040.html                              0.010660
041.html                              0.011569
042.html                              0.014287
043.html                              0.024337
044.html                              0.036843
045.html                              0.026121
046.html                              0.011065
047.html                              0.011193
048.html                              0.010139
049.html                              0.010222
050.html                              0.011155
051.html                              0.012547
052.html                              0.012323
053.html                              0.010884
054.html                              0.010926
055.html                              0.009879
056.html                              0.007023
057.html                              0.010133
058.html                              0.010780
059.html                              0.010763
060.html                              0.011119
061.html                              0.011217
062.html                              0.008689
063.html                              0.010688
064.html                              0.008873
065.html                              0.011691
066.html                              0.012255
067.html                              0.009770
068.html                              0.010457
069.html                              0.010577
070.html                              0.008303
071.html                              0.009316
072.html                              0.007445
073.html                              0.010549
074.html                              0.010598
075.html                              0.010756
076.html                              0.012776
077.html                              0.041135
078.html                              0.031248
079.html                              0.043283
080.html                              0.009648
081.html                              0.011834
082.html                              0.013119
083.html                              0.013730
084.html                              0.011925
085.html                              0.011578
086.html                              0.009961
087.html                              0.011257
088.html                              0.011017
089.html                              0.011638
090.html                              0.017872
091.html                              0.011224
092.html                              0.011814
093.html                              0.009888
094.html                              0.011515
095.html                              0.011611
096.html                              0.010099
097.html                              0.007999
098.html                              0.011121
099.html                              0.011136
100.html                              0.009109
101.html                              0.012097
102.html                              0.016927
103.html                              0.010800
104.html                              0.010186
105.html                              0.011302
106.html                              0.012012
107.html                              0.011718
108.html                              0.009990
109.html                              0.010817
110.html                              0.009922
111.html                              0.009111
112.html                              0.011152
113.html                              0.009745
114.html                              0.011111
115.html                              0.009681
116.html                              0.010802
117.html                              0.011154
118.html                              0.012398
119.html                              0.012558
120.html                              0.011406
121.html                              0.009397
122.html                              0.008540
123.html                              0.012396
124.html                              0.012952
125.html                              0.010272
126.html                              0.012057
127.html                              0.009802
128.html                              0.010940
129.html                              0.010968
130.html                              0.001273
131.html                              0.010727
132.html                              0.010670
133.html                              0.016209
134.html                              0.011201
135.html                              0.012014
136.html                              0.010016
137.html                              0.016247
138.html                              0.010915
139.html                              0.007863
140.html                              0.010059
141.html                              0.010687
142.html                              0.009831
143.html                              0.010660
144.html                              0.009277
145.html                              0.011436
146.html                              0.039825
147.html                              0.012698
148.html                              0.008847
149.html                              0.010161
150.html                              0.010864
151.html                              0.011028
152.html                              0.013600
153.html                              0.019173
154.html                              0.013426
155.html                              0.011672
156.html                              0.013288
157.html                              0.011112
158.html                              0.011416
159.html                              0.012397
160.html                              0.012403
161.html                              0.011821
162.html                              0.011308
163.html                              0.011354
164.html                              0.011570
165.html                              0.009618
166.html                              0.011631
167.html                              0.014971
168.html                              0.008005
169.html                              0.010942
170.html                              0.010018
171.html                              0.010409
172.html                              0.013594
173.html                              0.010731
174.html                              0.010726
175.html                              0.010604
176.html                              0.010170
177.html                              0.011863
178.html                              0.007801
179.html                              0.011219
180.html                              0.009248
181.html                              0.013402
182.html                              0.011457
183.html                              0.010169
184.html                              0.010033
185.html                              0.010297
186.html                              0.010355
187.html                              0.012363
188.html                              0.010134
189.html                              0.011930
190.html                              0.009887
191.html                              0.012680
192.html                              0.013350
193.html                              0.010353
194.html                              0.010455
195.html                              0.010298
196.html                              0.008754
197.html                              0.011596
198.html                              0.007491
199.html                              0.012778
200.html                              0.016606
201.html                              0.010912
202.html                              0.012053
203.html                              0.011451
204.html                              0.012738
205.html                              0.011720
206.html                              0.008712
207.html                              0.012366
208.html                              0.009087
209.html                              0.010457
210.html                              0.009045
211.html                              0.026830
212.html                              0.036698
213.html                              0.011717
214.html                              0.012256
215.html                              0.011653
216.html                              0.008126
217.html                              0.012066
218.html                              0.008091
219.html                              0.011244
220.html                              0.010143
221.html                              0.012998
222.html                              0.011237
223.html                              0.011166
224.html                              0.012157
225.html                              0.009907
226.html                              0.010351
227.html                              0.009322
228.html                              0.008496
229.html                              0.011043
230.html                              0.010580
231.html                              0.010909
232.html                              0.012076
233.html                              0.013303
234.html                              0.014889
235.html                              0.013986
236.html                              0.014817
237.html                              0.017247
238.html                              0.012777
239.html                              0.040315
240.html                              0.015389
241.html                              0.014333
242.html                              0.014488
243.html                              0.015289
244.html                              0.013770
245.html                              0.012811
246.html                              0.012397
247.html                              0.013893
248.html                              0.013448
249.html                              0.017435
250.html                              0.015066
251.html                              0.014052
252.html                              0.015503
253.html                              0.013537
254.html                              0.013041
255.html                              0.011479
256.html                              0.011888
257.html                              0.010913
258.html                              0.012923
259.html                              0.012141
260.html                              0.015097
261.html                              0.012266
262.html                              0.011330
263.html                              0.011685
264.html                              0.011542
265.html                              0.010599
266.html                              0.012715
267.html                              0.012741
268.html                              0.011567
269.html                              0.013809
270.html                              0.012969
271.html                              0.011646
272.html                              0.013317
273.html                              0.012737
274.html                              0.011620
275.html                              0.013105
276.html                              0.013613
277.html                              0.014862
278.html                              0.013111
279.html                              0.015093
280.html                              0.013691
281.html                              0.014144
282.html                              0.015953
283.html                              0.013443
284.html                              0.012795
285.html                              0.011986
286.html                              0.011907
287.html                              0.038499
288.html                              0.011059
289.html                              0.015389
290.html                              0.012731
291.html                              0.011501
292.html                              0.011705
293.html                              0.010610
294.html                              0.009921
295.html                              0.012453
296.html                              0.011945
297.html                              0.012062
298.html                              0.016193
299.html                              0.014030
300.html                              0.012962
301.html                              0.012960
302.html                              0.012178
303.html                              0.039584
304.html                              0.016380
305.html                              0.010978
306.html                              0.010955
307.html                              0.013528
308.html                              0.013240
309.html                              0.014059
310.html                              0.012433
311.html                              0.012110
312.html                              0.011501
313.html                              0.012214
314.html                              0.011990
315.html                              0.012146
316.html                              0.011690
317.html                              0.012084
318.html                              0.012530
319.html                              0.010716
320.html                              0.011095
321.html                              0.011803
322.html                              0.012494
323.html                              0.014618
324.html                              0.011966
325.html                              0.013531
326.html                              0.014276
327.html                              0.012850
328.html                              0.013923
329.html                              0.012845
330.html                              0.013015
331.html                              0.015185
332.html                              0.012607
333.html                              0.016134
334.html                              0.013390
335.html                              0.012306
336.html                              0.013838
337.html                              0.011611
338.html                              0.014646
339.html                              0.014450
340.html                              0.016649
341.html                              0.014290
342.html                              0.016231
343.html                              0.014347
344.html                              0.014626
345.html                              0.015371
346.html                              0.038037
347.html                              0.016215
348.html                              0.014287
349.html                              0.018196
350.html                              0.015015
351.html                              0.016098
352.html                              0.014008
353.html                              0.013832
354.html                              0.017677
355.html                              0.015301
356.html                              0.031388
357.html                              0.011739
358.html                              0.014024
359.html                              0.015343
360.html                              0.015876
361.html                              0.014033
362.html                              0.013771
363.html                              0.033010
364.html                              0.016896
365.html                              0.015467
366.html                              0.015817
367.html                              0.013326
368.html                              0.015245
369.html                              0.016060
370.html                              0.015721
371.html                              0.018710
372.html                              0.014392
373.html                              0.019909
374.html                              0.013878
375.html                              0.013921
376.html                              0.015798
377.html                              0.014853
378.html                              0.013464
379.html                              0.014213
380.html                              0.017162
381.html                              0.015825
382.html                              0.018026
383.html                              0.017373
384.html                              0.013456
385.html                              0.014866
386.html                              0.013117
387.html                              0.011768
388.html                              0.011883
389.html                              0.012132
390.html                              0.014272
391.html                              0.013482
392.html                              0.014316
393.html                              0.014876
394.html                              0.014044
395.html                              0.012636
396.html                              0.012328
397.html                              0.041064
398.html                              0.012682
399.html                              0.010164
400.html                              0.010914
401.html                              0.011275
402.html                              0.010761
403.html                              0.012578
404.html                              0.010108
405.html                              0.010975
406.html                              0.012296
407.html                              0.012542
408.html                              0.012426
409.html                              0.011010
410.html                              0.012161
411.html                              0.011907
412.html                              0.013364
413.html                              0.010951
414.html                              0.012347
415.html                              0.011053
416.html                              0.011918
417.html                              0.009930
418.html                              0.011018
419.html                              0.011387
420.html                              0.010306
421.html                              0.012829
422.html                              0.009817
423.html                              0.010003
424.html                              0.009570
425.html                              0.011222
426.html                              0.011878
427.html                              0.011361
428.html                              0.010059
429.html                              0.011762
430.html                              0.010704
431.html                              0.011669
432.html                              0.010820
433.html                              0.056610
434.html                              0.088810
435.html                              0.049188
436.html                              0.044597
437.html                              0.052401
438.html                              0.016210
439.html                              0.015041
440.html                              0.012560
441.html                              0.012277
442.html                              0.012722
443.html                              0.012771
444.html                              0.013592
445.html                              0.013874
446.html                              0.012283
447.html                              0.010967
448.html                              0.011596
449.html                              0.011289
450.html                              0.009454
451.html                              0.008684
452.html                              0.009947
453.html                              0.011455
454.html                              0.010458
455.html                              0.008833
456.html                              0.009944
457.html                              0.008473
458.html                              0.009103
459.html                              0.011601
460.html                              0.009847
461.html                              0.010596
462.html                              0.013641
463.html                              0.010971
464.html                              0.010642
465.html                              0.032314
466.html                              0.009886
467.html                              0.007990
468.html                              0.009590
469.html                              0.008553
470.html                              0.009054
471.html                              0.008706
472.html                              0.008388
473.html                              0.009102
474.html                              0.008517
475.html                              0.009234
476.html                              0.008766
477.html                              0.008624
478.html                              0.008419
479.html                              0.009836
480.html                              0.008965
481.html                              0.010283
482.html                              0.007814
483.html                              0.010206
484.html                              0.009124
485.html                              0.008459
486.html                              0.008455
487.html                              0.009225
488.html                              0.007876
489.html                              0.008563
490.html                              0.008011
491.html                              0.008257
492.html                              0.010870
493.html                              0.008377
494.html                              0.009196
495.html                              0.008085
496.html                              0.009158
497.html                              0.008213
498.html                              0.015753
499.html                              0.033837
500.html                              0.021028
501.html                              0.021048
502.html                              0.021708
503.html                              0.020139
hard.html                             0.009403
medium.html                           0.007944
simple.html                           0.015350
test-002.html                         0.022486
--------------------------------------------------------------------------------
TOTAL                                 6.578454
