Token	Repeticiones	#Documentos	IDF
--------------------------------------------------------------------------------
aa	37	8	1.801061
aaa	24	7	1.859052
aaaaaamajgaaaaaacwapaaaaaaadadyaaaaaaeaaoqaae	1	1	2.704151
aaaeaaiwaqaaaauaaabttvrqaaaaab	1	1	2.704151
aaaeab	1	1	2.704151
aaaeealktqti	20	20	1.403121
aaas	2	2	2.403121
aac	2	2	2.403121
aachen	6	4	2.102091
aacisd	1	1	2.704151
aacute	3288	43	1.070682
aacutelt	1	1	2.704151
aacutev	1	1	2.704151
aads	2	2	2.403121
aae	1	1	2.704151
aaeaaaafaaaauku	1	1	2.704151
aaeliberalis	1	1	2.704151
aaemassago	1	1	2.704151
aaemegvalosult	1	1	2.704151
aai	1	1	2.704151
aaicorp	5	5	2.005181
aakb	1	1	2.704151
aalen	1	1	2.704151
aamc	4	4	2.102091
aandalsnes	1	1	2.704151
aaped	3	3	2.227029
aar	5	4	2.102091
aardvark	1	1	2.704151
aarhus	1	1	2.704151
aaron	9	3	2.227029
aarp	7	5	2.005181
aartselaar	1	1	2.704151
aas	2	2	2.403121
aasad	1	1	2.704151
aascpa	4	3	2.227029
aau	20	5	2.005181
aauw	1	1	2.704151
aazabaaaajqaaaenmt	1	1	2.704151
ab	248	14	1.558022
ababa	2	1	2.704151
abacha	1	1	2.704151
abacom	9	5	2.005181
abacs	1	1	2.704151
abacus	1	1	2.704151
abaforum	1	1	2.704151
abalczo	1	1	2.704151
abalkanon	1	1	2.704151
aball	1	1	2.704151
abaloldalizasnak	1	1	2.704151
abalon	1	1	2.704151
aban	2	1	2.704151
abandon	5	4	2.102091
abandoned	1	1	2.704151
abandoning	3	3	2.227029
abandonment	2	2	2.403121
abang	1	1	2.704151
abank	1	1	2.704151
abanknak	1	1	2.704151
abankoknak	2	1	2.704151
abankrendszer	1	1	2.704151
abankuralom	1	1	2.704151
abastece	2	2	2.403121
abastecer	1	1	2.704151
abasteciendo	1	1	2.704151
abastecimiento	2	1	2.704151
abate	1	1	2.704151
abated	2	1	2.704151
abazilika	1	1	2.704151
abb	40	11	1.662758
abba	4	4	2.102091
abbahagyta	3	2	2.403121
abban	89	36	1.147848
abbanremenykedik	1	1	2.704151
abbate	1	1	2.704151
abbe	1	1	2.704151
abbeval	1	1	2.704151
