Token	Repeticiones	#Documentos
--------------------------------------------------
testimony	18	10
med	1	1
privacy	79	10
janlori	2	1
deputy	51	28
center	101	57
for	4610	364
democracy	62	34
and	17117	385
before	206	93
house	138	70
committee	80	41
on	4001	338
government	459	122
reform	72	44
subcommittee	3	2
information	485	163
medical	284	57
records	52	18
confidentiality	17	4
june	106	39
need	180	84
demand	51	30
federal	377	70
of	21068	413
personal	235	103
health	500	69
not	1167	199
protecting	27	15
a	25558	401
horn	188	40
members	117	66
the	32484	390
my	120	44
name	136	36
is	5126	324
goldman	2	2
i	391	97
am	113	49
director	70	31
technology	111	51
cdt	16	3
public	548	206
interest	140	64
organization	125	88
dedicated	8	8
to	11141	383
preserving	3	3
free	216	95
other	759	204
democratic	116	49
values	55	35
internet	260	144
interactive	28	15
communications	113	36
appreciate	7	6
opportunity	48	32
testify	6	6
you	410	115
today	62	43
behalf	22	15
in	9959	379
support	195	97
comprehensive	64	40
legislation	64	32
protect	76	44
one	541	181
primary	50	34
goals	26	17
passage	51	19
that	3421	295
establishes	5	4
enforceable	4	2
protection	102	53
personally	15	7
identifiable	6	1
we	387	76
believe	50	31
protects	17	9
will	1006	191
have	1057	221
trust	51	9
confidence	13	10
emerging	18	15
infrastructure	26	12
if	680	135
their	1080	224
sensitive	22	14
data	228	70
vulnerable	3	3
abuse	120	26
commend	4	3
efforts	75	52
chairman	56	32
representative	50	27
gary	7	2
condit	2	1
leadership	56	23
towards	67	46
enacting	1	1
there	376	110
no	474	154
law	413	85
louis	12	7
harris	15	3
survey	50	28
found	143	60
most	650	163
people	320	115
this	1727	291
country	86	44
mistakenly	4	3
currently	49	42
protected	30	9
by	3046	318
they	712	173
right	235	82
access	154	52
own	192	91
only	382	130
28	427	26
states	310	110
allow	65	41
patients	48	18
34	304	13
policy	272	73
urgently	2	2
needed	48	30
address	44	33
increasing	49	37
demands	21	16
those	267	129
outside	57	36
traditional	71	50
insurance	168	36
managed	9	7
care	342	52
employers	60	14
enforcement	36	19
are	1909	281
eroding	2	2
central	129	72
believes	20	14
congress	102	41
must	386	76
act	189	58
so	200	93
our	319	117
laws	152	53
finally	14	13
some	395	141
with	2880	326
american	563	131
perception	28	21
expectation	7	4
technological	21	18
innovations	9	8
images	44	25
be	2058	272
transferred	13	11
easily	19	17
over	400	141
great	170	73
impacts	7	6
significant	66	45
development	339	116
national	296	127
superhighway	1	1
changing	73	45
ways	62	47
deal	61	43
each	327	124
barriers	5	5
time	321	133
location	23	16
disappearing	3	3
as	3400	299
transactions	9	7
become	97	61
computerized	12	9
few	84	50
relationships	25	22
field	85	36
remain	40	29
unaffected	2	2
these	659	190
absence	17	16
any	459	124
congressional	30	23
collection	22	18
use	470	159
continue	56	40
occur	22	14
within	226	114
networked	2	1
environments	4	3
without	165	77
but	566	152
while	209	97
revolution	117	32
may	713	140
hold	37	31
promise	11	11
enhancing	7	6
others	51	37
both	349	138
paper	379	119
electronic	52	24
even	210	90
useful	23	17
technologies	33	11
pose	9	8
potential	75	44
risks	24	19
where	187	97
an	2108	300
keep	51	35
confidential	13	6
forced	29	20
take	169	90
back	99	65
seat	6	4
drive	15	12
lower	68	43
increase	75	50
efficiency	37	19
facilitate	11	11
research	258	118
through	431	155
last	190	96
held	94	56
hearings	8	6
fair	37	22
practices	61	37
sponsored	3	3
craig	9	5
was	1150	201
approved	50	23
full	114	64
operations	55	37
part	356	132
its	964	215
ongoing	15	13
consideration	29	18
testifying	1	1
435	11	4
were	465	135
industry	163	62
consumer	81	36
advocates	12	9
nydia	2	1
velazquez	2	1
nan	1	1
department	146	53
human	279	83
alan	7	6
columbia	12	9
john	137	48
donald	7	6
fredric	1	1
hospital	88	26
joel	5	5
blue	38	16
cross	19	15
shield	8	4
representing	31	26
workgroup	3	2
kathleen	2	2
management	246	71
richard	56	26
ibm	40	14
martin	13	10
robert	107	47
medic	1	1
alert	17	10
foundation	26	21
professor	10	6
paul	23	14
university	74	35
arkansas	3	3
reintroduced	1	1
jim	22	13
mcdermott	1	1
recently	48	37
introduced	20	16
also	608	183
aimed	24	20
at	1682	316
outlines	11	11
key	133	90
principles	40	22
should	288	104
embodied	6	5
consensus	8	4
exists	14	11
conference	86	34
office	106	55
panelists	2	2
from	1742	275
cigna	1	1
computer	98	39
professionals	20	14
social	533	112
responsibility	74	58
urged	14	10
policymakers	1	1
issue	113	73
associations	13	7
released	26	20
prepared	27	21
assistance	55	25
expert	20	15
majority	57	36
favored	4	4
enactment	4	4
strong	66	31
governing	27	22
percent	80	26
said	364	55
absolutely	3	3
essential	41	33
or	2518	249
very	166	70
important	157	84
wanted	25	17
penalties	18	11
imposed	22	17
unauthorized	10	4
disclosure	16	7
guaranteed	11	10
rules	67	33
regulating	12	11
buttressing	1	1
another	161	66
1992	26	20
revealed	14	14
nearly	14	13
ninety	5	2
believed	22	19
computers	17	15
make	231	97
it	1223	243
easier	14	10
someone	74	27
improperly	2	2
obtain	47	28
had	372	116
been	536	161
victim	65	20
improper	2	2
number	207	91
studies	116	60
determined	26	18
georgetown	2	2
larry	14	11
gostin	1	1
concluded	21	9
preemptive	1	1
statute	15	9
based	221	100
necessary	93	55
databases	1	1
continued	43	35
assessment	46	28
issued	32	21
report	257	154
entitled	33	15
which	1200	242
addressed	16	13
consequences	46	28
computerizing	1	1
individual	170	77
recommending	5	5
ota	62	28
expanded	19	16
purposes	25	21
exacerbates	1	1
shortcomings	6	6
existing	41	31
legal	293	73
schemes	3	3
patient	84	20
flow	26	8
outward	3	3
relationship	202	89
addressing	13	12
questions	98	63
appropriate	60	35
providing	66	54
redress	1	1
who	706	172
wronged	2	2
lack	65	45
such	463	163
failure	73	41
them	163	82
could	154	76
affect	62	41
quality	65	39
integrity	5	4
record	47	32
institute	37	17
medicine	63	27
academy	8	6
science	85	47
study	439	134
focused	13	13
opportunities	36	26
associated	60	35
identifiably	1	1
iom	1	1
recommended	14	11
enact	4	2
preempt	1	1
state	457	128
establish	25	23
uniform	14	10
requirement	28	24
rights	428	159
suggested	30	21
create	83	46
code	45	32
ensure	46	29
proper	20	20
balance	48	34
between	544	158
required	106	49
council	81	34
preparing	13	13
organizational	39	13
applications	51	34
security	263	70
analyzing	17	17
distribution	66	32
among	139	84
nrc	1	1
plans	117	55
end	142	88
misuse	2	2
can	751	178
disastrous	5	5
attached	20	17
news	103	50
stories	42	22
new	920	241
york	131	55
congresswoman	1	1
won	25	17
her	379	81
after	337	126
overcoming	6	6
results	80	59
including	360	163
details	25	22
bout	1	1
depression	25	13
suicide	13	7
attempt	71	49
faxed	1	1
newspaper	39	21
television	87	27
stations	11	8
during	432	141
journalist	20	13
disguised	3	3
himself	31	19
obtained	22	15
published	40	32
she	305	50
treated	15	9
sexually	15	6
transmitted	39	15
more	648	203
troubling	2	2
than	451	155
invasions	1	1
suffered	15	11
ordinary	7	6
individuals	63	36
whose	78	58
has	1028	216
compromised	1	1
auditors	4	2
demanded	12	11
names	16	12
seeking	38	30
aids	49	15
treatment	163	73
boston	13	9
once	70	39
disclosed	6	5
harvard	2	2
community	130	64
admitted	21	14
routinely	5	3
entering	24	21
detailed	65	45
notes	41	28
psychotherapy	2	2
sessions	5	3
into	435	176
then	186	71
accessible	7	7
all	823	262
clinical	21	14
eight	32	21
medicaid	40	6
clerks	4	3
prosecuted	11	6
selling	36	19
printouts	1	1
financial	159	69
resources	54	34
dependents	5	4
sales	59	17
representatives	34	23
common	107	54
sending	14	12
letters	14	11
detailing	6	6
problems	219	84
surprised	2	2
discovered	18	13
discussed	53	41
employee	138	22
program	269	97
counselors	7	5
became	26	18
knowledge	62	39
instances	10	8
breaches	6	3
millions	19	16
similar	92	57
either	96	53
harmed	2	2
becomes	46	29
imperative	2	2
court	408	57
appeals	51	15
third	80	48
circuit	20	7
ruled	14	11
outweighed	1	1
doe	4	2
southeastern	10	9
pennsylvania	19	12
transportation	36	24
overturned	7	6
award	21	15
taking	72	47
antiviral	1	1
drug	106	30
azt	552	43
infection	4	2
hiv	10	4
known	92	54
due	112	63
breach	23	7
prescription	5	4
benefits	179	46
agreed	34	25
employees	93	28
constitutional	65	33
plan	134	63
limited	105	45
monitoring	12	9
determine	59	39
excessive	10	9
decision	156	57
rested	2	2
fact	70	46
adverse	7	6
employment	110	26
harassment	24	8
result	102	62
dissenting	5	4
judge	79	22
lewis	11	9
hope	36	29
predict	9	9
case	400	148
future	152	75
disclose	5	4
private	121	56
audit	40	8
benefit	57	33
escape	8	7
liability	51	16
harms	2	2
errors	14	12
difficult	45	31
correct	26	25
mary	9	6
rose	11	9
taylor	8	6
massachusetts	12	10
denied	24	19
